Name,Nationality,Overall Rank,Floor,High Bar,PBars,Pommel Horse,Rings,Vault,Avg score
Xiao Ruoteng,CHN,1,14.433,14.4,14.6,14.8,13.8,14.9,14.5
Lin Chaopan,CHN,2,14.5,14.3,14.8,14.266,13.666,14.9,14.4
Kenzo Shirai,JPN,3,15.7,13.966,14.633,13.433,13.666,15,14.4
David Belyavskiy,RUS,4,14.1,13.2,15.266,14.9,14.1,14.783,14.4
Manrique Larduet,CUB,5,13.9,14.333,14.933,13.733,14.133,14.966,14.3
Nile Wilson,GBR,6,14.3,14.433,14.5,13.666,14.3,14.1,14.2
Yul Moldauer,USA,7,14.566,13.333,14.533,14,14.066,14.5,14.2
Oleg Verniaiev,UKR,8,13.8,12.533,14.966,13.333,14.566,14.833,14.0
Ahmet Onder,TUR,9,14.1,13.466,14.933,12.933,13.833,14.533,14.0
Nikita Nagornyy,RUS,10,14.5,11.066,14.541,13.866,14.466,14.8,13.9
Jo Calvo Moreno,COL,11,13.9,13.566,14.6,13.8,13.333,13.866,13.8
Pablo Braegger,SUI,12,14.233,14.5,12.7,13.266,13.6,14.433,13.8
Artur Davtyan,ARM,13,13.3,12.733,13.766,13.4,14.2,14.9,13.7
Garam Bae,KOR,14,13.0,13.4,13.6,13.533,12.866,14.133,13.4
Caio Souza,BRA,15,13.9,12.133,14.266,11.566,14.166,14.5,13.4
Marios Georgiou,CYP,16,12.5,13.833,14.1,12.3,13.5,14,13.4
Robert Tvorogal,LTU,17,12.9,13.333,14.1,12.866,13.133,13.9,13.4
Philipp Herder,GER,18,14.133,12.6,14.1,12.833,13.5,13,13.4
Eddy Yusof,SUI,19,13.6,13.4,14.366,11.633,13.766,13.433,13.4
Ferhat Arican,TUR,20,11.7,12.933,14.683,13.525,12.9,14.266,13.3
Zachary Clay,CAN,21,13.133,12.9,13.1,13.566,13.1,14.1,13.3
Tomas Kuzmickas,LTU,22,14.266,13.333,13.633,12.866,11.7,13.866,13.3
Kevin Cerda,MEX,23,13.3,12.833,12.366,12.266,12.4,13.733,12.8
Joel Plata Rodriguez,SP,24,13.7,11.866,13.4,10.633,13.5,13.633,12.8
